OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-33654,2025-070G,2026-02-02T05:34:59.130912,15.27611304,0.00012561,43.0014,100.0489,191.4405,168.6419,0,U,63466,999,4755,0.00080031281,0.00021847,0.0
STARLINK-33697,2025-070H,2026-02-02T05:38:41.647200,15.27583584,0.00012012,43.003,100.085,271.0704,89.001,0,U,63467,999,4755,0.00096259938,0.00026324,0.0
STARLINK-33720,2025-070J,2026-02-02T04:06:22.993344,15.27600974,0.00010786,43.0,100.4444,171.215,188.872,0,U,63468,999,4754,0.00083176888,0.00022711,0.0
STARLINK-33587,2025-070K,2026-02-02T05:18:20.084256,15.27614363,6.345e-05,43.0017,99.9671,249.9764,110.102,0,U,63469,999,4755,0.0014725502,0.00040525,0.0
STARLINK-33637,2025-070L,2026-02-02T04:47:05.390880,15.27608724,0.00022228,42.9936,100.6569,141.9317,218.1692,0,U,63470,999,4754,0.00077866742,0.00021246,0.0
STARLINK-33744,2025-070M,2026-02-02T05:59:02.662368,15.27593766,0.00013062,43.003,100.1769,268.0916,91.9786,0,U,63471,999,4755,0.00068891407,0.00018751,0.0
STARLINK-33766,2025-070N,2026-02-02T04:37:50.720160,15.27605152,4.429e-05,42.995,100.6153,3.9968,356.0887,0,U,63472,999,4754,0.00054115941,0.00014671,0.0
STARLINK-33765,2025-070P,2026-02-02T04:11:56.023872,15.2761438,0.0002005,42.996,100.4722,127.053,233.0506,0,U,63473,999,4754,0.0010862346,0.00029782,0.0
STARLINK-33735,2025-070Q,2026-02-02T05:20:10.872384,15.27611387,0.00021308,42.9978,99.9682,279.8522,80.2089,0,U,63474,999,4755,0.0012922803,0.00035505,0.0
STARLINK-33731,2025-070R,2026-02-02T04:43:23.396448,15.27610724,3.446e-05,42.9958,100.642,256.8487,103.2326,0,U,63475,999,4754,0.00082192903,0.00022446,0.0
